"Country"	"Subregion"
"Indonesia"	"Southeast Asia"
"Philippines"	"Southeast Asia"
"China"	"Eastern Asia"
"India"	"South Asia"
"Papua New Guinea"	"Oceania"
"Cambodia"	"Southeast Asia"
"Thailand"	"Southeast Asia"
"Pakistan"	"South Asia"
"Vietnam"	"Southeast Asia"
"Iran"	"Middle East"
"Iraq"	"Middle East"
"Egypt"	"North Africa"
"Ukraine"	"Europe"
"Slovakia"	"Europe"
"Israel"	"Middle East"
"Lebanon"	"Middle East"
"Jordan"	"Middle East"
"France"	"Europe"
"Sierra Leone"	"West Africa"
"Ethiopia"	"East Africa"
"Cameroon"	"Central Africa"
"Mali"	"West Africa"
"Guinea"	"West Africa"
"Cote d'Ivoire"	"West Africa"
"Nigeria"	"West Africa"
"Angola"	"Central Africa"
"Benin"	"West Africa"
"Ghana"	"West Africa"
"Liberia"	"West Africa"
"Libya"	"North Africa"
"Niger"	"West Africa"
"Myanmar"	"South Asia"
"Bangladesh"	"South Asia"
"Chad"	"Central Africa"
"Senegal"	"West Africa"
"Tunisia"	"North Africa"
"Portugal"	"Europe"
"Spain"	"Europe"
"Morocco"	"North Africa"
"Italy"	"Europe"
"Malaysia"	"Southeast Asia"
"Algeria"	"North Africa"
"Burkina Faso"	"West Africa"
"Germany"	"Europe"
"Comoros"	"East Africa"
"Turkey"	"Middle East"
"Bahrain"	"Middle East"
"Republic of South Africa"	"Southern Africa"
"Romania"	"Europe"
"Sri Lanka"	"South Asia"
"Ghana/Nigeria"	"West Africa"
"Democratic Republic of the Congo"	"Central Africa"
"Somalia"	"East Africa"
"Djibouti"	"East Africa"
"Kenya"	"East Africa"
"Mauritania"	"West Africa"
"Rwanda"	"East Africa"
"Malawi"	"East Africa"
"Russian Federation"	"Europe"
"Mozambique"	"Southern Africa"
"Unknown"	"Unknown"
"Mexico"	"South America"
"Bolivia"	"South America"
"Brazil"	"South America"
"Colombia"	"South America"
"Kurdistan"	"Middle East"
"Peru"	"South America"
"Chile"	"South America"
"Argentina"	"South America"
"Uganda"	"East Africa"
"French Guiana"	"South America"
"Burundi"	"East Africa"
"Tanzania"	"East Africa"
"Nepal"	"South Asia"
"Albania"	"Europe"
"Palestine"	"Middle East"
"Gaza"	"Middle East"
"Guinea Bissau"	"West Africa"
"Ecuador"	"South America"
"Sudan"	"North Africa"
"Zambia"	"East Africa"
"Gabon"	"Central Africa"
"Central African Republic"	"Central Africa"
"Laos"	"Southeast Asia"
"Afghanistan"	"South Asia"
"Madagascar"	"East Africa"
"Togo"	"West Africa"
"Equatorial Guinea"	"Central Africa"
"India/Nepal"	"South Asia"
"South Sudan"	"North Africa"
"Zimbabwe"	"Southern Africa"
"Haiti"	"Carribean"
"Yemen"	"Middle East"
